age,job,marital,education,balance,housing,duration,campaign,approval
30.0,unemployed,married,primary,1787,no,79.0,1,no
33.0,services,married,secondary,4789,yes,220.0,1,no
35.0,management,single,tertiary,1350,yes,185.0,1,no
30.0,management,married,tertiary,1476,yes,199.0,4,no
59.0,blue-collar,married,secondary,0,yes,226.0,1,no
35.0,management,single,tertiary,747,no,141.0,2,no
36.0,self-employed,married,tertiary,307,yes,341.0,1,no
39.0,technician,married,secondary,147,yes,151.0,2,no
41.0,entrepreneur,married,tertiary,221,yes,57.0,2,no
43.0,services,married,primary,-88,yes,313.0,1,no
39.0,services,married,secondary,9374,yes,273.0,1,no
43.0,admin.,married,secondary,264,yes,113.0,2,no
20.0,student,single,secondary,502,no,261.0,1,yes
31.0,blue-collar,married,secondary,360,yes,89.0,1,no
40.0,management,married,tertiary,194,no,189.0,2,no
56.0,technician,married,secondary,4073,no,239.0,5,no
37.0,admin.,single,tertiary,2317,yes,114.0,1,no
31.0,services,married,secondary,132,no,148.0,1,no
42.0,management,divorced,tertiary,16,no,140.0,3,no
44.0,services,single,secondary,106,no,109.0,2,no
44.0,entrepreneur,married,secondary,93,no,125.0,2,no
26.0,housemaid,married,tertiary,543,no,169.0,3,no
41.0,management,married,tertiary,5883,no,182.0,2,no
55.0,blue-collar,married,primary,627,yes,247.0,1,no
67.0,retired,married,unknown,696,no,119.0,1,no
56.0,self-employed,married,secondary,784,no,149.0,2,no
53.0,admin.,married,secondary,105,no,74.0,2,no
68.0,retired,divorced,secondary,4189,no,897.0,2,yes
31.0,technician,married,secondary,171,no,81.0,3,no
59.0,management,married,secondary,42,no,40.0,1,no
32.0,management,single,tertiary,2536,yes,958.0,6,yes
49.0,technician,married,tertiary,1235,no,354.0,3,yes
42.0,admin.,divorced,secondary,1811,yes,150.0,1,no
78.0,retired,divorced,primary,229,no,97.0,1,yes
32.0,blue-collar,married,secondary,2089,yes,132.0,1,yes
23.0,services,single,tertiary,363,yes,16.0,18,no
38.0,management,single,tertiary,11971,yes,609.0,2,no
36.0,management,single,tertiary,553,no,106.0,2,no
52.0,blue-collar,married,secondary,1117,yes,365.0,1,no
32.0,technician,married,tertiary,396,yes,205.0,3,no
32.0,technician,single,tertiary,2204,yes,11.0,4,no
34.0,management,single,tertiary,872,yes,105.0,2,no
55.0,blue-collar,married,primary,145,no,59.0,3,no
26.0,blue-collar,married,primary,0,yes,425.0,1,no
32.0,entrepreneur,single,primary,-849,yes,204.0,1,no
45.0,blue-collar,divorced,primary,844,no,1018.0,3,yes
37.0,technician,single,secondary,228,yes,1740.0,2,no
38.0,technician,single,secondary,50,no,98.0,2,no
34.0,technician,married,tertiary,1539,yes,441.0,1,yes
53.0,blue-collar,married,secondary,2231,yes,272.0,3,no
48.0,admin.,married,secondary,3064,yes,159.0,2,no
57.0,management,married,secondary,82,no,140.0,1,no
33.0,self-employed,single,tertiary,2155,no,295.0,1,no
36.0,retired,single,secondary,101,yes,314.0,1,no
41.0,blue-collar,married,primary,-516,no,554.0,3,no
